CLAP_text + CLAP_audio,CLAP_text + MusicGen_audio,CLAP_text + Riffusion_audio,Genre_text + MusicGen_audio,Genre_text + Riffusion_audio,Mood_text + MusicGen_audio,Mood_text + Riffusion_audio
0.6727879047393799,0.4466393291950226,0.28210628032684326,0.5738534927368164,0.40064871311187744,0.5798035264015198,0.21667039394378662
0.5673143267631531,0.5979505181312561,0.2861429750919342,0.5894755721092224,0.32231462001800537,0.506795346736908,0.31446775794029236
0.45112305879592896,0.13167732954025269,0.14761364459991455,0.6787908673286438,0.34226560592651367,0.6460077166557312,-0.05143018066883087
0.5140935778617859,0.5108551383018494,0.38238680362701416,0.5603296756744385,0.3920922577381134,0.5763493180274963,0.2556529939174652
0.5016917586326599,0.7892516851425171,0.5477645993232727,0.6420819759368896,0.3827064335346222,0.6722772121429443,0.4367220997810364
0.44600167870521545,0.6322705745697021,0.30787280201911926,0.4638521671295166,0.0176344383507967,0.6205453276634216,0.1740226149559021
0.2161043882369995,0.42558926343917847,0.3125363290309906,0.6632394790649414,0.37249162793159485,0.6101013422012329,0.2580443024635315
0.6001615524291992,0.35439637303352356,0.3885878324508667,0.657560408115387,0.48925045132637024,0.5474401712417603,0.36420175433158875
0.6771247982978821,0.6469336748123169,0.2752833366394043,0.40310564637184143,0.2941109240055084,0.5762220025062561,0.4243950843811035
0.5412992835044861,0.3264074921607971,0.2802821099758148,0.5328631401062012,0.2908555269241333,0.6040588021278381,0.033236607909202576
